customer_id,first_name,last_name,gender,date_of_birth,city,state,occupation,employment_type,annual_income,credit_score,customer_since,risk_segment
100001,Ananya,Mehta,Female,2003-01-07,Kolkata,West Bengal,Finance,Self-employed,985857.3,707,2021-05-28,Medium
100002,Sneha,Das,Female,1987-01-11,Surat,Gujarat,IT,Salaried,964200.81,663,2016-01-14,High
100003,Arjun,Reddy,Male,1998-01-08,Warangal,Telangana,Education,Self-employed,755171.57,726,2020-02-17,Medium
100004,Karan,Shah,Male,1977-01-13,Madurai,Tamil Nadu,Healthcare,Salaried,296497.64,620,2026-01-22,High
100005,Priya,Iyer,Male,1994-01-09,Surat,Gujarat,Government,Self-employed,1532489.43,680,2020-03-02,Medium
100006,Ananya,Singh,Male,1965-01-16,Mysuru,Karnataka,Government,Salaried,1190635.74,604,2021-08-29,High
100007,Diya,Patel,Female,2005-01-06,Kolkata,West Bengal,Government,Self-employed,560512.88,712,2016-08-11,Medium
100008,Aditya,Das,Male,1971-01-15,Ahmedabad,Gujarat,Education,Salaried,846467.14,774,2022-08-06,Low
100009,Diya,Iyer,Male,1970-01-15,Pune,Maharashtra,Finance,Salaried,450544.31,678,2022-01-16,High
100010,Siddharth,Gupta,Female,1987-01-11,Nagpur,Maharashtra,Education,Salaried,891143.81,746,2022-09-19,Medium
100011,Nikhil,Iyer,Male,1981-01-12,Pune,Maharashtra,Education,Salaried,868975.13,655,2024-10-09,High
100012,Meera,Patel,Male,2005-01-06,Madurai,Tamil Nadu,Other,Salaried,687336.54,643,2022-08-29,High
100013,Rohan,Kumar,Male,1973-01-14,Pune,Maharashtra,Manufacturing,Contract,805710.26,754,2026-03-19,Low
100014,Aditi,Joshi,Male,1981-01-12,Pune,Maharashtra,Healthcare,Salaried,477378.91,746,2017-05-01,Medium
100015,Rahul,Gupta,Female,1982-01-12,New Delhi,Delhi,Retail,Salaried,733372.54,663,2015-07-08,High
100016,Siddharth,Iyer,Male,1965-01-16,Jaipur,Rajasthan,IT,Business Owner,1787500.22,708,2020-12-19,Medium
100017,Rahul,Sharma,Female,1990-01-10,Kolkata,West Bengal,Manufacturing,Self-employed,1378197.82,723,2019-05-15,Medium
100018,Diya,Das,Female,2004-01-07,Jaipur,Rajasthan,IT,Salaried,1935438.81,690,2019-03-23,Medium
100019,Aditya,Mishra,Male,1993-01-09,Bengaluru,Karnataka,Healthcare,Salaried,1068384.47,678,2019-12-27,High
100020,Meera,Mehta,Female,1993-01-09,Mumbai,Maharashtra,Finance,Salaried,1068744.15,587,2025-08-31,Very High
100021,Aditya,Nair,Female,1967-01-16,Hyderabad,Telangana,Government,Salaried,1241182.22,627,2019-12-28,High
100022,Rahul,Mishra,Female,1962-01-17,Mysuru,Karnataka,Healthcare,Contract,1301913.01,729,2020-12-28,Medium
100023,Nikhil,Sharma,Female,1979-01-13,Hyderabad,Telangana,Retail,Salaried,826490.61,640,2023-08-12,High
100024,Aarav,Joshi,Male,1997-01-08,Pune,Maharashtra,Other,Business Owner,640348.37,619,2024-09-27,High
100025,Riya,Mehta,Female,1994-01-09,Madurai,Tamil Nadu,Government,Salaried,230226.65,691,2025-09-24,Medium
100026,Siddharth,Verma,Male,2000-01-08,Coimbatore,Tamil Nadu,Healthcare,Business Owner,1391582.14,694,2018-02-25,Medium
100027,Diya,Reddy,Male,1961-01-17,Chennai,Tamil Nadu,Manufacturing,Salaried,2059823.64,850,2020-06-19,Low
100028,Rahul,Nair,Male,1991-01-10,Nagpur,Maharashtra,Healthcare,Salaried,655350.62,742,2016-10-16,Medium
100029,Diya,Verma,Female,1981-01-12,Hyderabad,Telangana,IT,Salaried,647785.8,712,2019-12-08,Medium
100030,Ananya,Sharma,Male,1988-01-11,Kolkata,West Bengal,Government,Business Owner,910086.12,702,2024-10-14,Medium
100031,Aarav,Reddy,Female,1995-01-09,Nagpur,Maharashtra,Healthcare,Salaried,2371589.72,786,2015-07-26,Low
100032,Vihaan,Rao,Female,1965-01-16,New Delhi,Delhi,IT,Contract,1444042.61,714,2022-12-05,Medium
100033,Isha,Mehta,Female,1965-01-16,Kolkata,West Bengal,Manufacturing,Self-employed,407212.98,674,2022-05-22,High
100034,Meera,Joshi,Male,1981-01-12,Nagpur,Maharashtra,Government,Salaried,815647.75,780,2019-06-06,Low
100035,Ananya,Reddy,Female,1999-01-08,Chennai,Tamil Nadu,Healthcare,Salaried,285395.58,718,2019-03-24,Medium
100036,Riya,Verma,Female,1988-01-11,Coimbatore,Tamil Nadu,Manufacturing,Contract,420304.32,681,2025-07-15,Medium
100037,Sneha,Joshi,Male,1981-01-12,Coimbatore,Tamil Nadu,Retail,Business Owner,1957135.48,724,2021-02-15,Medium
100038,Aditi,Joshi,Female,1972-01-15,Chennai,Tamil Nadu,Other,Business Owner,392291.9,743,2016-07-08,Medium
100039,Arjun,Rao,Male,1973-01-14,Mysuru,Karnataka,Other,Salaried,1121025.63,613,2026-01-10,High
100040,Diya,Sharma,Male,1985-01-11,New Delhi,Delhi,Government,Salaried,510638.28,644,2023-04-20,High
100041,Meera,Verma,Female,1978-01-13,New Delhi,Delhi,Education,Salaried,523899.98,763,2020-05-11,Low
100042,Aditya,Mehta,Male,1964-01-17,Kolkata,West Bengal,Government,Contract,1824367.32,586,2024-09-19,Very High
100043,Vikram,Mehta,Female,1984-01-12,Ahmedabad,Gujarat,Manufacturing,Self-employed,1194752.58,668,2023-05-27,High
100044,Aditi,Singh,Male,1971-01-15,Kolkata,West Bengal,Healthcare,Salaried,870233.87,652,2016-10-23,High
100045,Karan,Mehta,Female,1986-01-11,Udaipur,Rajasthan,Other,Salaried,700166.55,781,2025-10-06,Low
100046,Rahul,Rao,Female,1989-01-10,Hyderabad,Telangana,Education,Contract,1557755.89,747,2016-05-12,Medium
100047,Priya,Rao,Male,2000-01-08,Ahmedabad,Gujarat,IT,Salaried,1812410.68,674,2020-03-23,High
100048,Ananya,Patel,Male,1985-01-11,Madurai,Tamil Nadu,Manufacturing,Contract,484587.61,724,2023-12-26,Medium
100049,Aarav,Joshi,Male,1966-01-16,Jaipur,Rajasthan,Manufacturing,Salaried,578591.32,725,2026-06-28,Medium
100050,Riya,Mehta,Female,2001-01-07,Surat,Gujarat,Education,Salaried,850767.99,729,2016-08-23,Medium
100051,Kavya,Joshi,Female,1965-01-16,Mumbai,Maharashtra,Finance,Salaried,998960.46,685,2015-08-05,Medium
100052,Neha,Patel,Female,1962-01-17,Kolkata,West Bengal,Finance,Business Owner,207801.72,662,2026-02-18,High
100053,Ananya,Mehta,Female,1974-01-14,Kolkata,West Bengal,Manufacturing,Salaried,1556664.36,696,2020-10-20,Medium
100054,Vihaan,Das,Female,1967-01-16,Ahmedabad,Gujarat,IT,Salaried,540855.97,618,2018-02-11,High
100055,Siddharth,Das,Male,1978-01-13,Udaipur,Rajasthan,Finance,Salaried,930878.08,642,2025-03-02,High
100056,Rahul,Joshi,Female,2001-01-07,Pune,Maharashtra,Retail,Salaried,559155.76,641,2024-01-07,High
100057,Meera,Kumar,Female,1985-01-11,New Delhi,Delhi,Finance,Salaried,1550661.85,681,2021-03-07,Medium
100058,Aditya,Mishra,Male,1998-01-08,Warangal,Telangana,Finance,Salaried,697810.49,719,2016-06-27,Medium
100059,Nikhil,Singh,Male,2001-01-07,Jaipur,Rajasthan,Healthcare,Self-employed,471047.83,718,2026-03-04,Medium
100060,Siddharth,Verma,Male,1996-01-09,Kolkata,West Bengal,Healthcare,Salaried,239830.47,638,2019-10-24,High
100061,Isha,Iyer,Male,1980-01-13,Mumbai,Maharashtra,Retail,Self-employed,908062.18,677,2022-07-03,High
100062,Ananya,Rao,Female,1990-01-10,Kolkata,West Bengal,Retail,Salaried,400217.11,700,2026-01-22,Medium
